Marketing,494,9,0.0182186234817814
Business Development,1642,35,0.0213154689403167
Product Management,641,14,0.0218408736349454
Accounting,3333,74,0.0222022202220222
Human Resources,1807,41,0.0226895406751522
Engineering,6686,158,0.0236314687406521
Services,1686,40,0.0237247924080664
Legal,311,8,0.0257234726688103
Sales,1832,49,0.0267467248908297
Support,954,28,0.0293501048218029
Training,1692,52,0.0307328605200946
Research and Development,1084,35,0.0322878228782288
Auditing,52,2,0.0384615384615385
